Locus	Latitude	Longitude
Thames2_04	51.481	0.450
Thames2_05	51.481	0.450
Thames2_06	51.481	0.450
Thames2_07	51.481	0.450
Thames2_08	51.481	0.450
Thames2_09	51.481	0.450
Thames2_10	51.481	0.450
Thames2_11	51.481	0.450
Thames2_12	51.481	0.450
Thames2_13	51.481	0.450
Thames2_14	51.481	0.450
Thames2_15	51.481	0.450
Thames2_16	51.481	0.450
Thames2_17	51.481	0.450
Thames2_18	51.481	0.450
Thames2_19	51.481	0.450
Thames2_20	51.481	0.450
Thames2_21	51.481	0.450
Thames2_22	51.481	0.450
Thames2_23	51.481	0.450
NorwayW1_01	58.34140288573454	 11.896175938443836
NorwayW1_02	58.34140288573454	 11.896175938443836
NorwayW1_03	58.34140288573454	 11.896175938443836
NorwayW1_04	58.34140288573454	 11.896175938443836
NorwayW1_05	58.34140288573454	 11.896175938443836
NorwayW1_06	58.34140288573454	 11.896175938443836
NorwayW1_07	58.34140288573454	 11.896175938443836
NorwayW1_08	58.34140288573454	 11.896175938443836
NorwayW1_09	58.34140288573454	 11.896175938443836
NorwayW1_10	58.34140288573454	 11.896175938443836
NorwayW1_11	58.34140288573454	 11.896175938443836
NorwayW1_12	58.34140288573454	 11.896175938443836
NorwayW1_13	58.34140288573454	 11.896175938443836
NorwayW1_14	58.34140288573454	 11.896175938443836
NorwayW1_15	58.34140288573454	 11.896175938443836
NorwayW1_16	58.34140288573454	 11.896175938443836
NorwayW1_17	58.34140288573454	 11.896175938443836
NorwayW1_18	58.34140288573454	 11.896175938443836
NorwayW1_19	58.34140288573454	 11.896175938443836
NorwayW1_20	58.34140288573454	 11.896175938443836
NorwayW1_21	58.34140288573454	 11.896175938443836
NorwayW1_22	58.34140288573454	 11.896175938443836
NorwayW2_01	59.10434616360216	 9.61913236019731
NorwayW2_02	59.10434616360216	 9.61913236019731
NorwayW2_03	59.10434616360216	 9.61913236019731
NorwayW2_04	59.10434616360216	 9.61913236019731
NorwayW2_05	59.10434616360216	 9.61913236019731
NorwayW2_06	59.10434616360216	 9.61913236019731
NorwayW2_07	59.10434616360216	 9.61913236019731
NorwayW2_08	59.10434616360216	 9.61913236019731
NorwayW2_09	59.10434616360216	 9.61913236019731
NorwayW2_10	59.10434616360216	 9.61913236019731
NorwayW2_11	59.10434616360216	 9.61913236019731
NorwayW2_12	59.10434616360216	 9.61913236019731
NorwayW2_13	59.10434616360216	 9.61913236019731
NorwayW2_14	59.10434616360216	 9.61913236019731
NorwayW2_15	59.10434616360216	 9.61913236019731
NorwayW2_16	59.10434616360216	 9.61913236019731
NorwayW2_17	59.10434616360216	 9.61913236019731
NorwayW2_18	59.10434616360216	 9.61913236019731
NorwayW2_19	59.10434616360216	 9.61913236019731
NorwayW2_20	59.10434616360216	 9.61913236019731
NorwayW2_21	59.10434616360216	 9.61913236019731
NorwayW2_22	59.10434616360216	 9.61913236019731
NorwayW2_23	59.10434616360216	 9.61913236019731
NorwayW2_24	59.10434616360216	 9.61913236019731
NorwayW2_25	59.10434616360216	 9.61913236019731
NorwayW2_26	59.10434616360216	 9.61913236019731
NorwayW2_27	59.10434616360216	 9.61913236019731
NorwayW2_28	59.10434616360216	 9.61913236019731
NorwayW2_29	59.10434616360216	 9.61913236019731
NorwayW2_30	59.10434616360216	 9.61913236019731
NorwayW2_31	59.10434616360216	 9.61913236019731
NorwayW2_32	59.10434616360216	 9.61913236019731
NorwayW2_33	59.10434616360216	 9.61913236019731
NorwayW2_34	59.10434616360216	 9.61913236019731
KON_01	55.381	8.648
KON_02	55.381	8.648
KON_03	55.381	8.648
KON_04	55.381	8.648
KON_05	55.381	8.648
KON_06	55.381	8.648
KON_07	55.381	8.648
KON_08	55.381	8.648
KON_09	55.381	8.648
KON_10	55.381	8.648
KON_11	55.381	8.648
KON_12	55.381	8.648
KON_13	55.381	8.648
KON_14	55.381	8.648
KON_15	55.381	8.648
KON_16	55.381	8.648
KON_17	55.381	8.648
KON_18	55.381	8.648
KON_19	55.381	8.648
KON_20	55.381	8.648
KON_21	55.381	8.648
KON_22	55.381	8.648
KON_23	55.381	8.648
KON_24	55.381	8.648
KON_25	55.381	8.648
KON_26	55.381	8.648
